뉴스 제목	댓글 내용	타입
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	모르는 사람이 들으면 부칸이 핵을 폐기했다 다시 만드는줄 알겠음... 이완용의 평화는 존나 욕하면서 문재앙 평화는 찬양중이신~~ 군데 이완용 평화를 찬양한 새끼들과 문재앙 평화를 찬양한 새끼들이 똑같은 넘들이라는 사실 알고 있는감 ?? 즈 짝 말여.... 이름만 다름 일진회와 문슬람...	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	정은이가 니 싫다잖아.왜케 질척되니?간도 쓸개도 없냐?머 하나라도  제대로 하는게없냐?그러고도 니가 한나라에 수장이냐?안되는건 안되는거야.	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	북한 김정은이 가짜 평화로 위장했던 본색을 완전히 드러내면서, 핵을 보유하고 은닉한 상태로 우리를 위협하고 있는 상황인데도, 아직도 정신 못차리고 김정은과의 약속이 지켜지기만을 바라고 있는 것 같다. 북한 김정은은 문재인 정부에게 폐기하겠다고 약속하고 합의문까지 채택한 동창리 발사장을 이미 재가동했고, 금강산 시설 철거해가라고 심술부리고, 이제는 남북 연락사무소도 없애버리겠다고 협박하고 있다. 이제는 그만 끌려다니고, 민주화 운동 세력답게, 북한에도 민주화와 인권,우리를 기만하지 않는 진실한 비핵화를 당당하게 요구했으면 한다.	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	야 이 새끼야! 북한새끼들이 이따위로 나가는데도 북한 것들과 계속 평화니 뭐니 그런 말같지 않은 개소리를 지껄일거냐? 진짜 우리나라 개, 돼지들은 진짜 이제 대통령이나 국회의원을 뽑을 때 제대로 보고 뽑길 바란다. 그리고 좌파들은 절대로 뽑아서는 안되는 것들이다. 완전 이것들한테 빠진 것들은 어쩔 수 없지만 하여튼 끝으로 개소리 적당히 해라. 이 악마새끼야!	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	이새끼는 진짜야... 이해하려 들지마 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	얘 황제병이 심각한 수준이다. 지가 쇼 한번한걸 가지고 평화약속이란 뭔가 업적을 이뤘다 생각하네... 진짜 충격인데... 하는짓거리보고 예상은 했다만 생각보다 더 심각한 수준	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	이 새끼는 아직도 몽상을 하고 자빠졌네. 자식같은 놈들에게 그 욕지거리를 듣고도 입 한 번 뻥끗 못하는 새끼가 국민들이 느끼는 모욕감을 알 리가 있나?	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	국민들의 승인도 받지 않고 독단적으로 판문점 가서 정은돼지한테 뭘 약속해줬는지 이실직고 하시오.....	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	대한민국 대통령이 아니다 저인간은	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	이것도 한 나라의 대통령인가?	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	지금까지 김정은이한테 갇다 바친 것만 해도 어마어마할텐데 결국에는 한 순간에 파탄났네 참 잘하는 짓이다ㅋㅋㅋㅋ	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	이쯤되면 병걸린 환자가 수준이네	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	여기저기서 부정선서이슈로 난리인데 언론만 개조용하다. 아무리봐도 문재앙을비롯한 빨갱이당을 지지하는자가 극히적은데 180석은 뭐냐도대체	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	남쪽대통령이 8천만 국민들앞에서 평화를 앞세워 사기를쳤네. 더이상 국민들을 속이지마라. 북은 핵을 포기할생각이 전혀없다고 하네. 김대중도 국민들앞에 사기를쳤다 북한은핵을 개발할의지도 능력도 없다고 사기를쳤지.	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	진중권 한마디에 열폭하는 대깨들 여정이한텐 왜조용함?니들이 존경하는 문재인대통령님 굴욕적인 욕이란 욕은 북한한테 다먹었는데ㅋㅋㅋ	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	이런!! 김여정한테 또 한소리 듣겠네!!	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	감정호소 집어치우시고요... 대한민국!! 자유민주주의에서 교과서마다 '자유'다 빼놓고 애들부터 세뇌교육시키려는것 집어 치우시고요!!(학부모님들, 교과서 유심히 검토해 주세요!!) 기사마다 평등,평화 프레임씌워가며 자유빠진 민주주의 외치면서 사회주의 선동 그만하시고요!!! 정신차리세요!!!! 북한은 아직 엄연한 적국이고!! 우린 휴전상태고!! 6.25는 북한이 남침해서일어난 전쟁이고!! 우리나라는! 자유자유자유민주주의 국가임을!! 명심하십시오!!!!	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	문재인은 내부 정치도 마찬가지지만, 항상 망상적인 말이 앞서 뒤통수를 처 맞는 것이 주특기야.. 경제 살아난다고 떠든 것도 수십번, 코로나 끝낸다는 것도 수십번, 북한과의 관계에서도 유엔제재 생각치 않고 주둥이를 놀린 것때문에 지금 이모양 이꼴.. 애초에 북한 넘들을 믿으면 안 되는 것인데, 그 넘들을 절대 비핵화를 할 생각어 없든 넘들인데 그걸 믿고 비핵화를 떠들더니, 어떤 실적도 없고.. 결국 그 넘의 사탕발림 주둥이때문에 속는 애들은 지능에 문제가 있는 문빠애들이지, 이제 북한도 문빠 탈출을 했는데 어쩌냐??	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	8천만 국민 감히 대통령이 운운하지 마라. 모두가 동의한적 없다. 8천명 빨갱이들은 있나 몰라도 대통령이 아니라 간첩같다.	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	문어벙이를보면 좀 모자라고 멍청하다는생각을했다 저딴 진따가 어떻게 통이됐는지 아직도 연구중이다	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	아, 근데 왜 윤미향이 기사는 한 줄도 안보이는지 당췌... 어떻게 진행이 되고 있는지 매우 궁금하고만,,	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	평양에 땅 사놨나 적당히좀해라 니들조상만 북에서내려왔나 더럽게 집착하네 대통령으로 인정해주고싶어도 진짜 해쳐먹는놈보다 더싫다	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	북한에는한없이 굽신굽신...	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	이번 정부에 저렇게 욕지꺼리하는데,  웬 전정부 타령?이것도 이명박근혜 탓인가요?	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	곡사포 쳐맞아 가루가 되어야 정신차릴 색히구만	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	떠라이.. 국민이 원하는건 굴종적인 일시 평화가 아니라.. 정정당당한 평화란 말이오.. 그깟 김일성이 잔당에게 굽신거리는 꼬라지 더이상 보고 싶지 않소..	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	옥류관에서 정수기가 얼마나 쳐묵었으면 주방장이 나와서 그런 팩폭을 하냐 ㅋㅋ	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	공산주의자들에게 180석이나 몰표 준 한국 국민성에 딱 알맞는 수준의 대통령이네요. 자랑스럽읍니다.	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	목줄만 없다뿐이지 그냥 북조선 개네	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	8천만겨례??? 진짜 황당하다...북한과 짝짝쿵하는 것은 우리남한의 일부 세력들아닌가? 대한민국 국민들 중 3%정도?  근데 뭔 8천만겨례여?  대한민국 대통령이면서 국가와 국민을 먼저 생각해야지...완전 주적한테 애걸복걸 , 안달복달 사정하슈? 북한이 만들어 놓은 핵폭탄에 대해선 왜 한마디 말도 안하고, 대한민국을 공격하겠다 협박하는 것에 대해선 왜 말한마디 안하슈? 당신이 북한 쫄따구여? 여보슈..당신은 대한민국 대통령 자격없으니 그만 물러나세요..	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	우리나라 대통령들은 왜 정신병자만 있냐 망상충들 ㅉㅉ 박근혜는 이상한 우주의기운이나 무당믿고 문재앙은 부카니즘에 빠져 자기가 통일에 선택받은자 통일을이루어야하는 자라는 개망상에빠져있고 제정신으로는 저자리오르기힘든가보다	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	그냥 머리속이 북한북한북한북한북한북한북한북한북한북한북한북한북한북한북한북한북한북한북한북한북한	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	평화 평화 거리면서 달라진게 뭐냐? 굴종이 평화더냐?? 쌍욕 들어쳐먹는게 평화냐?? 실추된 국격과 국민들의 수치심은 어찌할거냐?? 그저 반일국뽕으로 개돼지들의 눈과 귀만 가리면 모든게 끝나냐??	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	중국에서는 경비업체직원들에게 두들겨맞고도 희죽거리더니  ~  북한냉면집중방장에게 욕얻어쳐먹고도 씨부려쌌네	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	보아하니, 국민들의 큰 원성이 여당으로부터 나오는데, 총선에서 민주당이 압승한 결과가 도저히 이해가 안되네. 정말 궁금해서 물어보고 싶은데, 여러분은 정말 민주당을 뽑으셨나요?	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	국민의 뜻과 국가의 기본 정체성과 다른 결정을 하고 싶으면 당장 그 자리에서 내려와 당신 개인자격으로 하시지요, 실례지만 당신에게는 그런 권한을 국민들이 주지 않았습니다.	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	넘과 북을 함께 묶어 모욕하지 말라. 남북 8천만 명은 문재인, 김정은의 백성이 아니다. 우린 자유를 위해 중국, 일본이라는 만고의 적들과 대대로 싸워온 같은 민족일뿐, 이제는 각자의 길로 나뉘어 각자의 다른 나라 국민인고로 한국인은 한국인, 북조선인은 북한인으로 각기 제 삶의 방식 따라 살아가야하는 그 나름의 자유의 까닭으로 억지로 묶는다고 묶여질 수 없다.내가 너일 수 없고 너는 나일 수 없다.그저 서로 존중하며 도울 수 있으면 도우며 살면 그게 자연이고 이치이며 평화와 안녕이다. 문과 김은 소유권 주장 말라.	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	이렇게 까이는데 180석이 조작 없이 가능 하겠냐???	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	삶은 소대가리야 옥류관 주방에 똥개구이로 처넣어질 네가 대한민국 대표냐? 요즈음은 지나다니는 개나 소도 네놈보고는 웃지도 않는다. ㅉㅉ...	
