뉴스 제목	댓글 내용	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	쩝쩝이 아저씨 투표조작 해명 먼저 해주세요. 언론 기자분들 투표조작 시위하는거 좀 기사 써주세요. 민주당 아저씨들 같은 편 그만 감싸시고 밥벌이보다국민을 먼저 생각해주세요. 통합당 아저씨들 나라가 이 모양인데 변할 생각없이 계속 구경만 할건가요? 달님들 제발 달나라로 떠나주세요. 윤씨 아지매 당신이 사람인지 해명 좀 해주세요. 쩝쩝이 아저씨 마지막으로 부탁 하나만 할게요. 세월호 희생자보다 나라를 지키가 돌아가신 군인분들이 먼저입니다. 안타까운 사건이지만 세월호 이용해 먹지마세요. 달나라 가는거 말고는 어려운 부탁 아닌거 같네요^^	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	국민과의 약속과 살림은 등한시하고 독재자의 약속은 무를수없다니. 문재인씨 미치셨는지	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	아! 빙신........................달타령하네...........삶은 소대가리는 빨리 도축장으로...........	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	전쟁나면 문재앙이랑 국개의원들부터 죽이고 시작해야지 저게 18 한나라의 대통령이냐?? 종북 광신도냐?? 왜 싫다고 짜증내는데 지는 계속 좋다고 매달려??? 뇌 회전이 북으로만 도나 아오 18	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	간첩맞다니까???	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	이 닭대가리 진짜! 그만 기어라. 한 나라의 대통령이면 할말은 하라고 좀	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	저샛기 아주 속이 좁은 인간이다.노무현이 대인배였다면 저샛긴 소인배	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	냉면이나  쳐먹어라  이게국민의목소리다	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	퍼준 돈이나 도로 받아내라 쳐 먹기만하고 돈 떨어지면 또 발광 호구도 이런 호구가 없다	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	사회연방 적화통일을 국민은 원하지않는다자유민주통일이지 국민팔지마라 간첩 문재인거짓선동 이나라를 이렇게 작살내고 온갖불법 비리 독식 하면서 북한에 애걸하는인간정은이가 니새끼냐  자국민은 없고민주당 주사파 말살시키지않음  진짜 이나라는중국속국될것   국회도 4.15부정으로 장악하고.민심도 저버리는것들 다  사형감이다역대 최악의 악질무능정권 나라와국민을중국에 넘기는 매국노새끼  국민이 다들고일어나야	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	어휴 문재앙같은 새킈 뽑은 인간들 대가리들이 문제임...	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	김정은이는 당신 아들이 아닙니다. 말 안듣는 애 달래듯 하지 마시라구요. 저 사람도 일개 국가 통치자입니다. 국가대 국가로서 당당히 대하고 당당히 맞서란 말입니다. 북조선김정은처럼 대한민국대통령답게 정체성 확실히 하세요. 국민의 한 사람으로서 볼 때 한반도 운전자는커녕 고장난 네비 차량 운전하는 것 같네요.	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	치매간첩견의 짖음에 돼지도 포기한 듯 하다	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	돌파구로 정은님 100조 콜??? 이러는거 아님??	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	문재인 당신을 뽑아줄때 국민들은   국가와 국민을 위해 일하라고 한건데 도대체 왜 북한만 바라보는건가  어느나라 대통령인가	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	남매가 문재인이 능력자인줄 오판한거지  .............할수있는게 없는 자인걸 늦게안거지....인민들에게는 뭔가능력발휘할것같이 떵떵거리다가 신뢰 추락방지용 책임을 문씨에게돌리는거고 ....물론 솔직하게 재인씨도 할수있는것도없고 ...지하방카에들어앉아  커피마시는것말고는...	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	현상황이 이런데도 쩝쩝이 머릿속엔 온통 북한뿐이구나.에라이 쓰레기인간. .	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	노력 했지 !!!  돈받아서 핵탄두 만드느라 얼마나 많은 노력을 했어 !!  노력 인정 !!! 소대가리 인정 !!!!	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	에휴 한심한인간....ㅉㅉ  저런인간이 어떻게 지지율 59%가 나오는지 Z랄도 풍년이네... 조작질도 하려면 티 안나게하든가...	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	문죄인은 415선거 불법조작도 잘 알지 .  ㆍ범인들을 내놓아라	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	어휴 저런새키가 지지율 60% 대한민국의 국운도 여기까지인듯	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	아직도 문씨 옹호하는것들은 북한이나 중국으로 꺼져줬으면 좋겠다...	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	대통령한테 냉면 대접하고 백두산 관광 시켜준 거 말고는 대한민국은 아무것도 못 받았다.	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	남한 건드리면 확실하게 피해를 입을거다 라는 확신을 심어 준 것도 아니고 정권 유지 기간 동안 사이 좋게 지낸 것도 아니고.......이도저도 아닌 쇼만 하다가 집권이 끝나가는 구만	
