뉴스 제목	댓글 내용	타입
이 와중에… 북한에 1만명 여행보내겠다는 단체	니들 북힌이 그리 좋으면 북한 가서 살아라 .쫄려서 그리도 못할것들이...	
이 와중에… 북한에 1만명 여행보내겠다는 단체	총 맞을일 있나?	
이 와중에… 북한에 1만명 여행보내겠다는 단체	코로나 걸린다고 가두어 놓을 듯..하는 짓마다 맘에 안드네..이 시국에 북한여행이라...	
이 와중에… 북한에 1만명 여행보내겠다는 단체	가서 돌아오지 말아라	
이 와중에… 북한에 1만명 여행보내겠다는 단체	여행객들 잡혀  고문받고 웜비어처럼 시체로 돌아오길	
이 와중에… 북한에 1만명 여행보내겠다는 단체	비핵화부터 해야지 뭔 x소리인지	
이 와중에… 북한에 1만명 여행보내겠다는 단체	저런건  아예 종북신청  허가해라~~~	
이 와중에… 북한에 1만명 여행보내겠다는 단체	보내겠다는 놈이나 가는 놈리나 가서 거기에서 살아라 돌아오지말라.	
이 와중에… 북한에 1만명 여행보내겠다는 단체	돈퍼주는방법도 가지가지. 잔대가리굴리느라  애쓴다	
이 와중에… 북한에 1만명 여행보내겠다는 단체	이 사람들 옛날부터 판타지에 너무 빠져서 살아.... 판타지라는 우물 안에서 빠져나올 생각을 못해. 왜? 주변인들이 다 똑같은 인간이니까... 참 불쌍하다...	
이 와중에… 북한에 1만명 여행보내겠다는 단체	문재앙 사회주의 독재국가가 차곡차곡 진행되는구만~~  대깨문 개돼지들아 좋냐...???	
이 와중에… 북한에 1만명 여행보내겠다는 단체	♡여정이년~♡돈^주면~♡그돈으로~♡핵실험^미사일^쑈~♡동네^조폭이~ ♡운영하는~♡사채업체에~♡엮이듯이~♡집주고~♡마누라^뺏기어^몸팔고~♡엄마는^파출부^되고~♡아버지는^수위^되고~♡딸년은^원조교제^시키고~♡북조선은 절라도^냐?~♡너무^비슷해~	
이 와중에… 북한에 1만명 여행보내겠다는 단체	목숨걸고 가는 여행  돈은 바가지    간첩들이 가겠네   .오랫만에  가족만나고 친척만나고  애인만나고	
이 와중에… 북한에 1만명 여행보내겠다는 단체	ㅋㅋㅋㅋㅋㅋ북한에 인질 주고 송금해줄라고?ㅋㅋㅋㅌㅋㅌㅌㅌ	
이 와중에… 북한에 1만명 여행보내겠다는 단체	가서  국수처먹다가   고사포  총알도  처먹고와라   저것들   일부러  인질되려  하는거 아닌지 몰겠다  하도  어디로 튈지 모르는  족속들이라서.	
이 와중에… 북한에 1만명 여행보내겠다는 단체	제정신을가진사람들이가 이런상황에서북한여행이라 참세상이웃긴다 정말상상못할일이다입에서막욕이나오는데 참웃긴다 이말밖에는없다	
이 와중에… 북한에 1만명 여행보내겠다는 단체	진보성향은 무슨 찐 종북나부랭이들이지...	
이 와중에… 북한에 1만명 여행보내겠다는 단체	가고 싶은 넘들은 가라고 하세요 하지만 안전은 본인 몫입니다.간첩 색히들 스스로 간다는데 잘됐네요.	
이 와중에… 북한에 1만명 여행보내겠다는 단체	가서 절대 돌아오지 말아라..	
이 와중에… 북한에 1만명 여행보내겠다는 단체	문슬람등 수준wwwwwwwwwwwwww	
이 와중에… 북한에 1만명 여행보내겠다는 단체	돈만주기 뭐하니까 관광구실로 100 억 상당의 경비를 갖다 바치겠다는거잖아.역시 머리 잘쓰네.문성근이나 김성근이나 성근이는 다 맘에 안들어~~	
이 와중에… 북한에 1만명 여행보내겠다는 단체	가라  그리고 다시는  오지마라	
이 와중에… 북한에 1만명 여행보내겠다는 단체	왜 이리도 북한에 목메는지 ㅠ다 북에 보내버리자. ㅠ	
이 와중에… 북한에 1만명 여행보내겠다는 단체	느들이좋아서간다면서가라가서절살아라.환영	
이 와중에… 북한에 1만명 여행보내겠다는 단체	좌파들   북에가서  사상교육받으러 갈려고,   사상교육 받은지  오래되었으니  받을때가 되었지,   삼지연도  포함된것을보니   김씨  돼지우리에서  교육받는모양일세	
이 와중에… 북한에 1만명 여행보내겠다는 단체	인질로 잡혀도 도와주지 마라	
이 와중에… 북한에 1만명 여행보내겠다는 단체	대단하다 진짜 .... 왜저렇게 북한한테 안달이냐	
이 와중에… 북한에 1만명 여행보내겠다는 단체	저거, 일부러 인질되어 북한에 돈보내려는 간첩수작인거 100퍼니, 전부 참123수시켜라 ㅋㅋㅋ	
이 와중에… 북한에 1만명 여행보내겠다는 단체	니들이 말하는 동포애가 왜 동성애보다 더럽게 느껴질까?	
이 와중에… 북한에 1만명 여행보내겠다는 단체	아....!!!!  대  한  민  국 ! .................	
이 와중에… 북한에 1만명 여행보내겠다는 단체	1만명 허가해주라 가서 아주오지 말아라	
이 와중에… 북한에 1만명 여행보내겠다는 단체	국민들은 힘들어서 난리인데 큰일이다	
이 와중에… 북한에 1만명 여행보내겠다는 단체	북한 가고싶으면   문빠들하고  문성근 당신이나 가서 살어  연예인이면 연예인 생활이나 잘하지 정치에 관여나 하고  한심한 인간들	
이 와중에… 북한에 1만명 여행보내겠다는 단체	골빈새끼들	
이 와중에… 북한에 1만명 여행보내겠다는 단체	여행?  북한가서 오지마셔들.  김정은  수령동지  찬양곡 한곡씩 외우고 오겠구만	
이 와중에… 북한에 1만명 여행보내겠다는 단체	가서살아라영원히	
이 와중에… 북한에 1만명 여행보내겠다는 단체	보내줘라. 그런데 돌아오지는 말아라. 그런애들 북에 아주 이주해서 살면 누이좋고 매부좋고 아니겠나?	
이 와중에… 북한에 1만명 여행보내겠다는 단체	저 사람들 보내자. 그리고 가면 오지마라. 너네 하는 짓은 꼭 유아들 땡깡피우는것 같다. 유아들은 이것저것 따지지도 않고 자기맘대로 하는데 그것이랑 똑같은 짓들만 한다.	
이 와중에… 북한에 1만명 여행보내겠다는 단체	민주, 평화, 정의, 희망  요딴 말들은 듣기도 싫고 역겹기까지하다	
이 와중에… 북한에 1만명 여행보내겠다는 단체	이상과 현실을 구분할줄 모르는,,,	
이 와중에… 북한에 1만명 여행보내겠다는 단체	그래 1만명 데리고 북한 가서 오지마라. 가뜩이나 코로나19 때문에 힘든데~ 헛소리도 작작해야지. ㅈㄹ도 아주 대풍년이네	
이 와중에… 북한에 1만명 여행보내겠다는 단체	제발가서 3년만 살다와라,,,,,	
이 와중에… 북한에 1만명 여행보내겠다는 단체	월북귀순하세요~	
이 와중에… 북한에 1만명 여행보내겠다는 단체	그냥 보내주세요. 편도로.	
이 와중에… 북한에 1만명 여행보내겠다는 단체	이와중에 제정신인지.. 갔다가 돌아올수는 있고? 그렇게 북한북한 할거면 그냥 본인들이 이민을 가라	
이 와중에… 북한에 1만명 여행보내겠다는 단체	미쳤구나 역겨운 문성근 애비닮아서..	
이 와중에… 북한에 1만명 여행보내겠다는 단체	생각 잘 했다. 관광도 하고 거기서 쭈~~~욱 살아라~~~ 제발~.	
이 와중에… 북한에 1만명 여행보내겠다는 단체	우리국민들을 볼모로  보내는거네	
이 와중에… 북한에 1만명 여행보내겠다는 단체	100만 민란세력을 조직한 문성근이 오늘날 이나라의 여론을 왜곡하고 진보우파를 죽이고 북괴에 굴종하는 여론조성의 1등공신이다.	
이 와중에… 북한에 1만명 여행보내겠다는 단체	그냥 북송해라. 보내는김에 전라도애들도 같이 보내고	
