뉴스 제목	댓글 내용	타입
이 와중에… 북한에 1만명 여행보내겠다는 단체	우리가 여행가서 2억에서 5억원을 북에다 주면 북한주민에게 얼마나 전달 될까요? 동포애는 주민에게 줘야 동포애지 돈만 있음 핵미사일 쏴대는 북한정부는 도와줄수 없네요	
이 와중에… 북한에 1만명 여행보내겠다는 단체	가서 거기서 행복하게 살으시길	
이 와중에… 북한에 1만명 여행보내겠다는 단체	완전빨간물었군	
이 와중에… 북한에 1만명 여행보내겠다는 단체	이런 한심한 놈들을 봤나!   소란피지말고 조용히 월북해서 그쪽에 충성하고 살아!	
이 와중에… 북한에 1만명 여행보내겠다는 단체	이건 풍선보다 더 하네...	
이 와중에… 북한에 1만명 여행보내겠다는 단체	가고  영원히  안 오면  좋게다 하시는 분  공감!!	
이 와중에… 북한에 1만명 여행보내겠다는 단체	전부 제 정신이 아니군...... 북한 인민군 총알받이가 되고 잡냐???	
이 와중에… 북한에 1만명 여행보내겠다는 단체	이주를 원하는 사람들 지원받아 북으로 쫌 보내주세요~~여기서 뻘짓하지 못하게!!!	
이 와중에… 북한에 1만명 여행보내겠다는 단체	그냥 너네들만 지상낙원 마음의 고향 수령님 품안으로  북으로 가서 살아라	
이 와중에… 북한에 1만명 여행보내겠다는 단체	일인당 천달러씩 갖고 올라가도 천만달러네. 120억!	
이 와중에… 북한에 1만명 여행보내겠다는 단체	저런놈들 싹 다 모아서 북으로 이민 보내주면 안 될까요...? 왜 여행이야~ 그냥 거기서 눌러 살어...	
이 와중에… 북한에 1만명 여행보내겠다는 단체	나라가 제정신이 아니구나	
이 와중에… 북한에 1만명 여행보내겠다는 단체	그냥 북으로 이민을 보내세요	
이 와중에… 북한에 1만명 여행보내겠다는 단체	"그" 와중에 일본에서 '한국은 무슨 낯짝으로 일본의 투자를 기대하나?' 같은 기사 올리면서 일본놈들한테 붙어 일본의 이익을 대변하는가 하면, 일본인도 피하는 후쿠시마 수산물을 한국민이 수입해 처먹어주자 고 주장한 조선일보는요? 내 보기엔 똑같은 놈들이고 일본의 국력을 생각하면 친일이 오히려 훨씬 더 큰 우리의 위협이다. 동아일보는 그동안 자신의 친일행태를 반성이라도 했지 조선일보는 그간의 행태를 보면 아직도 자신의 친일정체성을 덮고 다른데로 어리석은 대중의 시선을 돌리기 위해 되려 친북을 비난하는 것으로 평가할 수밖에 없다	
이 와중에… 북한에 1만명 여행보내겠다는 단체	문성근.... 뒤로 살짝 숨었지만, 주사파의 대부라는 말이 있더라. 하여간...	
이 와중에… 북한에 1만명 여행보내겠다는 단체	가서 오지마세요	
이 와중에… 북한에 1만명 여행보내겠다는 단체	니들만 가서 영영 오지마라	
이 와중에… 북한에 1만명 여행보내겠다는 단체	다  북한으로 가시고... 내려 오지 마시고 사랑하는 북한에서 영원히  사시면 적극 찬성합니다.   올라가서  절대로 내려오지 마세요.	
이 와중에… 북한에 1만명 여행보내겠다는 단체	이사람들 몽땅 북한 보내버려	
이 와중에… 북한에 1만명 여행보내겠다는 단체	그냥 이민을가라....영원히 너네 존엄이랑 잘묵고잘살오	
이 와중에… 북한에 1만명 여행보내겠다는 단체	가서 돌아오지마라.	
이 와중에… 북한에 1만명 여행보내겠다는 단체	이 와중에 북한여행? 자기 이모부도 죽이는 조폭같은 독재자 김정은 남매와 핵시설 구경가고 싶을까?	
이 와중에… 북한에 1만명 여행보내겠다는 단체	이 와중이니 회유를 해야지. 똑같이 치고 받으면 누구만 손해?	
이 와중에… 북한에 1만명 여행보내겠다는 단체	감사합니다 제발 북으로가서 다신 오지않게해주세요 간절히기도 드립니다	
이 와중에… 북한에 1만명 여행보내겠다는 단체	그래 가서 오지마라~거기서 살아 봐라	
이 와중에… 북한에 1만명 여행보내겠다는 단체	주사파 대깨문들 뭔 짓거리들 하는 거냐? 북에가서 똥돼지 앞에서 재롱떨라고?	
이 와중에… 북한에 1만명 여행보내겠다는 단체	몸만 한국에서 태어났지, 머리속 사상과 생각은 북한놈들임. 북한이 그리 좋으면 북한가서 살지, 왜 한국에서 살면서 한국을 북한처럼 만들려하지?	
이 와중에… 북한에 1만명 여행보내겠다는 단체	아휴. 진짜 답없는 종북 놈들.	
이 와중에… 북한에 1만명 여행보내겠다는 단체	에효 이 등신들은 사태파악을 전혀 못하는 구나....가는 건 좋은데 가서 오지는 마라....	
이 와중에… 북한에 1만명 여행보내겠다는 단체	전쟁을 부추기는 토착왜구들아...만일 북한이 정말 이성을 잃어서 대규모 국지전을 도발해 오면 니들이 책임질거냐? 국지전으로 많은 군인들이 희생되면 그들을 또다시 애국자로 만들거냐? 니들이 전쟁을 부추겨서 불필요한 인명이 희생되면 애국자로 만들고 그걸 핑계로 애국을 부르짖으면서 또다시 전쟁을 부추기고 또다시 애국자 양산하고? 꼴통짓의 무한반복이냐? 니들은 군인들의 목숨을 빨아먹으면서 자신의 안위를 지키는 애국자 만들기 놀이나 하는 쓰레기들이다. 그 시간에 북한문제를 해결할 방법에 대해서 진지하게 고민해 보는게 더 건설적이지 않겠어?	
이 와중에… 북한에 1만명 여행보내겠다는 단체	북으로 이주해라	
이 와중에… 북한에 1만명 여행보내겠다는 단체	인질로잡혀도 우리나라에서 도와주지마라	
이 와중에… 북한에 1만명 여행보내겠다는 단체	미쳐날뛰는구나	
이 와중에… 북한에 1만명 여행보내겠다는 단체	180석 델고가라.달님도~	
이 와중에… 북한에 1만명 여행보내겠다는 단체	쪼선 찌라시 발악 ? 가짜뉴스제조.일본아베 흉내도 이제는 지쳤나 ?	
이 와중에… 북한에 1만명 여행보내겠다는 단체	모짜렐라~	
이 와중에… 북한에 1만명 여행보내겠다는 단체	북한에 돈 퍼주고 싶어서 안달이 났구나..스스로 인질이 될려고 하는거 보니..인질 되면 돈 줄 명분이 생길테고...인질되면 극진한 대접 받을 줄 아나 부지??그냥 인질이고 뭐고 되지 말고 그냥 이나라 떠나라..문성근씨..가족이랑 함께 북한으로 망명 하세요..	
이 와중에… 북한에 1만명 여행보내겠다는 단체	제발 자비들여 북한에가서 오지말기를 소원한다	
이 와중에… 북한에 1만명 여행보내겠다는 단체	응 !그래~ 방씨 조선 하인들하고 미통닭  빠는  새기들  다  합치면  어림잡아1만은  되겠제,,이것들  북으로  다보내서  총살맞게  했으면  참  좋겠다ㅋㅋㅋ	
이 와중에… 북한에 1만명 여행보내겠다는 단체	여행 보내라. 단, 오지 말고 거기서 눌러붙어 살아라...	
이 와중에… 북한에 1만명 여행보내겠다는 단체	그냥가서.제발.오지마라.종북빨갱이들아	
이 와중에… 북한에 1만명 여행보내겠다는 단체	북한 인질이 되서 공산당 체험좀  해 봐야 알지	
이 와중에… 북한에 1만명 여행보내겠다는 단체	아니 북한 좋은 놈들은 여행이 아니라 그냥 짐 싸서 가라고	
이 와중에… 북한에 1만명 여행보내겠다는 단체	그래 갔다가     영도자 모독  이라든지  간첩으로  체포되어 봐라   갈사람가라   코로나19에   감염되고 ?	
이 와중에… 북한에 1만명 여행보내겠다는 단체	빨갱이가 싫어요~~	
이 와중에… 북한에 1만명 여행보내겠다는 단체	여행가지말고 이삿짐센타불러 보따리싸 아예 가서 살아아라.이놈들아!!~~상대하기도 짜증난다.	
이 와중에… 북한에 1만명 여행보내겠다는 단체	북한으로 가서 돌아오지 마시오오매불망 그리워 하지말고~~~~	
이 와중에… 북한에 1만명 여행보내겠다는 단체	나라가 망하든 말든 지들 돈벌이만 하면 되는 거다. 모두가 저지경이니 북한 세습독재가 가능하다. 남한 역시 북한을 벤치마킹 장기집권을 도모하는 거다.	
이 와중에… 북한에 1만명 여행보내겠다는 단체	김 조광수...북한에 동성애 결혼 합법화 주장하러 가는듯....	
이 와중에… 북한에 1만명 여행보내겠다는 단체	좌파들 북한을 빨아주는 문죄인대통령부터 좌파들 다가라글고 오지마라 우리는 빨갱이 민주당 필요없음	
이 와중에… 북한에 1만명 여행보내겠다는 단체	(종북 = 평화 = 진보) 한국좌파들의 교묘한 이념설계에 선동된 무뇌들	
이 와중에… 북한에 1만명 여행보내겠다는 단체	두번 다시 오지마라 잘가~	
이 와중에… 북한에 1만명 여행보내겠다는 단체	문씨 아들, 조국 딸, 임종석 딸 .. 꼭 보내라.. 민족평화의 큰 틀을 준비?하는 분들, 자녀인데 정은이가 성대하게 대접해 줄꺼다! 아님 최악의 경우, 갇히거나 죽어도 통일부장관놈 말대로 통일의 통과의례? 정도는 될거다..  ㅋ	
이 와중에… 북한에 1만명 여행보내겠다는 단체	억류되면	
이 와중에… 북한에 1만명 여행보내겠다는 단체	북한 여행자들은 코로나 예방을 위해 입국 후 2주간 격리되어야 한다.	
이 와중에… 북한에 1만명 여행보내겠다는 단체	가는놈들은 공산주의 좌빨 빨갱ㅇ 들인텐데 가서 다 사망했음 좋겠다	
이 와중에… 북한에 1만명 여행보내겠다는 단체	부디 '여행'이 '이민'되소서  ㅠㅠ	
이 와중에… 북한에 1만명 여행보내겠다는 단체	총맞아야 정신차리겠지‥	
이 와중에… 북한에 1만명 여행보내겠다는 단체	어쩌다 나라꼴이 이정도까지 됐단 말인가?세계각국사람들이 다아는 북한의 상황을 저리도 못본단 말인가? 이게 6.25때 순국한 이나라늘 지키기위해 피흘린 열사들에 대한 예우는 없는가, 미쳤어. 나라가. 발갱이 천국이 되어버렸어	
이 와중에… 북한에 1만명 여행보내겠다는 단체	총 맞고싶어 안달이구나	
이 와중에… 북한에 1만명 여행보내겠다는 단체	미쳤군..	
이 와중에… 북한에 1만명 여행보내겠다는 단체	사회주의 단체~ 먹거리 사업에~  정부지원금에~ 배불렀네~~	
이 와중에… 북한에 1만명 여행보내겠다는 단체	그래가라~~다신들아오지마!!	
이 와중에… 북한에 1만명 여행보내겠다는 단체	이런 빨갱이부터 모조리 척살해야함	
이 와중에… 북한에 1만명 여행보내겠다는 단체	북한가서 돈쓰면, 그 돈들은 다 어디로 갈까??  이미 20년동안 확인하지 않았나??  정세현하고 문성근은 제발 북한가세요...	
이 와중에… 북한에 1만명 여행보내겠다는 단체	일본 노예 언론사는 일본 아베뉴스나 내라.	
이 와중에… 북한에 1만명 여행보내겠다는 단체	추진하는 정치인과 운영진은 꼭 같이 가라	
이 와중에… 북한에 1만명 여행보내겠다는 단체	가서 오지마라	
이 와중에… 북한에 1만명 여행보내겠다는 단체	왜 조선찌라시야..일본에 가야 한다고 하면 양국간에 화해를 위해서 좋다고 하겠제? 왜냐면...니들은 쪽ㅃ.ㅏ리앞잡이들이니까..	
이 와중에… 북한에 1만명 여행보내겠다는 단체	문빠놈들만 정밀조사해서 그들만 보내면 게임끝 민족화해 누가 반대하나 하지만 그들은 대화상대가 아니다 자유의 흐름이 봇물처럼 흘러간다면 그들 체제는 흔들릴것이다 최후가 보이는데 북한이 우리뜻대로 협상하겠냐 북의 목표는 자유민주를 싹 지우고 적화통일에만 눈이 벌건데 진짜 문재인정권 도대체 나라가 당신들 실험대상자냐  무슨 말못할 큰죄를 지였길래~~ 도대체 왜 그러는데	
이 와중에… 북한에 1만명 여행보내겠다는 단체	스스로 인질 되어주러 가네ㅋㅋ 인당 대체 얼마여	
이 와중에… 북한에 1만명 여행보내겠다는 단체	거기가서 볼게 뭐가있다고 여행을 가냐ㅉㅉ	
이 와중에… 북한에 1만명 여행보내겠다는 단체	동네 불량깡패 한테 무릎꿇고 먹을커 갖다 바치는 꼴이네.한심하다.	
이 와중에… 북한에 1만명 여행보내겠다는 단체	대한민국이 드디어 파르티잔들이 날뛸 수 있는 나라가 돼버렸다. 이젠 막을 수 없다. 이미 정부와 국회를 좌파들이 점령했다. 막을 수 있는 단 하나의 방법은 국민들의 각성인데 그건 이제 무용지물이고.	
이 와중에… 북한에 1만명 여행보내겠다는 단체	총알받이 하러 잘 다녀와라	
이 와중에… 북한에 1만명 여행보내겠다는 단체	코로나 퍼뜨리고 오면되지	
이 와중에… 북한에 1만명 여행보내겠다는 단체	저것도국민이가	
이 와중에… 북한에 1만명 여행보내겠다는 단체	간첩들이 수령 살리기에 나섰네... 이제는 대놓고 왕래 하겠다는 거지...	
이 와중에… 북한에 1만명 여행보내겠다는 단체	정신병자들 맞네.. 전부 북으로 보내 버립시다..	
이 와중에… 북한에 1만명 여행보내겠다는 단체	여차 하면 인질	
이 와중에… 북한에 1만명 여행보내겠다는 단체	대가리에 총 맞고 정신 차릴래? ㅉㅉ	
이 와중에… 북한에 1만명 여행보내겠다는 단체	가고싶은사람  다보내되 완전 이주하는것으로  합시다 ~!	
이 와중에… 북한에 1만명 여행보내겠다는 단체	평화 염원과 뜨거운 동포애라고? ㅋㅋ 그 게 북에 통하냐? 평화 염원과 뜨거운 동포애는 상대가 정상적인 상태일 때나 가능하지.. 북한이 나라냐? 그냥 거대 폭력조직일 뿐이지. 조폭에게 굽씬거리면 더 악날하게 이용해 먹을 뿐.. ㅉㅉ	
이 와중에… 북한에 1만명 여행보내겠다는 단체	이런분들 걍 북송선 만들어 보내주면 안되나?	
이 와중에… 북한에 1만명 여행보내겠다는 단체	항상 힘든 일은 개개인에게 떠넘기고 생색내는 일은 소위 씹선비들이 가져가는군요.	
이 와중에… 북한에 1만명 여행보내겠다는 단체	별넘들이 뭘 위한척 ᆢ그러지 말고 이북관광하고싶으면 이북가서 오지말고 살아라ᆢ윤미향이는 남편과 함께 탈북자 이북보낼려고 위안부성금으로 온갖  짓 다 했드먼ᆢ여기서 떠들지말고 누구도 안 말리니 시끄럽게 하지말고 한국을 떠나라ᆢ	
이 와중에… 북한에 1만명 여행보내겠다는 단체	한완상,문성근,김조광수등 진보 성향 인사들 1만명이 그냥 북한으로 이민 가서 살면서 북한 마음껏 여행하면 되겠네...	
이 와중에… 북한에 1만명 여행보내겠다는 단체	관광객을 조준 사살해버리고도 사과 한마디 없는된데 빨간것들 많이 보내라	
이 와중에… 북한에 1만명 여행보내겠다는 단체	아무래도 세컨더리보이콧 맞을것같네...달러 엄청 들고가겠군 유엔은 모두 검열해라..문성근 이런 무리들 가서 다시는 돌아오지마라	
이 와중에… 북한에 1만명 여행보내겠다는 단체	가서 몇사람  죽어봐야 정신차릴듯. 총에 맞아 축인지 얼마나 됐다고.	
이 와중에… 북한에 1만명 여행보내겠다는 단체	정신 나간 놈들 참으로 많도다. 이참에 북에 가서 살 놈들을 몽땅 모집해 떠나거라.	
이 와중에… 북한에 1만명 여행보내겠다는 단체	빨갱이는 이럴때 모습을 드러낸다.	
이 와중에… 북한에 1만명 여행보내겠다는 단체	3대 세습 독재 정권...김정은 체제하에서는 헛짓꺼리임...남북 교류가 활성화 될수록...독재체재 붕괴의 정은이 목줄이 걸려있는데...  ㅎㅎㅎ	
이 와중에… 북한에 1만명 여행보내겠다는 단체	전교조들 좋아하긋네 싹다보내고 오지마라해	
이 와중에… 북한에 1만명 여행보내겠다는 단체	그래 문빠 조빠 다 데리고 북에 넘어가서 거기서 죽어라	
이 와중에… 북한에 1만명 여행보내겠다는 단체	날이 더워서 뇌가 이상해졌나~북한 가고싶어서 머리 굴리는거냐~?제발 가서 오지말아라.남한물 흐리지 말고 쫌~!스스로 인질이 되고싶어 안달이 났군.	
이 와중에… 북한에 1만명 여행보내겠다는 단체	꼭 다녀오세요~~ 제 사비라도 보태드리고 싶네욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 가서 살면 더 좋구	
이 와중에… 북한에 1만명 여행보내겠다는 단체	평화가 싫다는게아니구지금이상황에 어떻게 이런생각이나는지..안전을보장받지못하는데 ...진짜 이해가안되네요	
이 와중에… 북한에 1만명 여행보내겠다는 단체	관광만 하지 말고 북주민 인권 을 살피고  .. 너네가 좋아 하는 김씨 남매 독재자 가 있으니  북주민 처럼 꽤나 살고 싶은 나라 일꺼다..그  좋은데서 아주 눌러 앉아서 오지 마라.. 진정 독재자 에겐 꿀벙어리 이고 어데다 독재자라 외치냐 ?	
이 와중에… 북한에 1만명 여행보내겠다는 단체	제발 가서 오지마라	
이 와중에… 북한에 1만명 여행보내겠다는 단체	거라 어서가 그리고 오지마그렇게 좋은곳이라 생각하니  거기살아	
이 와중에… 북한에 1만명 여행보내겠다는 단체	간첩?? 맞습니다.	
이 와중에… 북한에 1만명 여행보내겠다는 단체	q북한에서 우리 괴롭히겠다고 선언한 이와중에??? 북한 관광을 하겠다고요?? 정신차리십시오~!!!!	
이 와중에… 북한에 1만명 여행보내겠다는 단체	북괴를 위해서 저 자식들이 인질을 미리 보내주는거네?	
이 와중에… 북한에 1만명 여행보내겠다는 단체	너거만 가지말고 더불어공산당 놈들 다 데리고가라. 가서 오지말고 거기서 살아라	
이 와중에… 북한에 1만명 여행보내겠다는 단체	문빠들하고 주사파들하고 간첩들 여행보내면 되겠네..ㅋㅋㅋ 그리고 절대 다시 오게하지마라.. 아주 피곤하다	
이 와중에… 북한에 1만명 여행보내겠다는 단체	문성근 에비 문익환 사이비목사 비서로 정치질 시작한게 핫태경이다 ㅉㅉ	
이 와중에… 북한에 1만명 여행보내겠다는 단체	인질이내	
이 와중에… 북한에 1만명 여행보내겠다는 단체	빨갱이들 날뛰기 시작했네  개x은 놈들	
이 와중에… 북한에 1만명 여행보내겠다는 단체	민주당 전원 청기와 전원 가족들 데리고 가라가서 돌아오지 말고 살아라	
이 와중에… 북한에 1만명 여행보내겠다는 단체	병이다 병..ㅉㅉㅉ	
이 와중에… 북한에 1만명 여행보내겠다는 단체	참여단처 달마가서 쯕~~~~~~~~~~~~~~~~눌러사세요👣👽👾	
이 와중에… 북한에 1만명 여행보내겠다는 단체	여기저기  미친사람들만  득실거리는  이나라	
이 와중에… 북한에 1만명 여행보내겠다는 단체	가서 정착하세요. 그토록 그리던 신천지에 가셔서 만수무강하세요. 만세도 목청껏 부르고 눈물도 하염없이 흘리고 감격하면서 대대손손 부귀영화를 누리면서	
이 와중에… 북한에 1만명 여행보내겠다는 단체	아... 적당히해라.. 이래놓고 진보가 어쩌고 그러면 난리가 나지... 지금 이런거 추진할때인가? 이해할수가 없자나..	
이 와중에… 북한에 1만명 여행보내겠다는 단체	좋은 아이디어네요 ㅎㅎ 이참에 극좌파 공산당 1만명 남한에서 치워버리면 개이득	
이 와중에… 북한에 1만명 여행보내겠다는 단체	북한이주법 발의해 주세요. 남한 종북빨갱이들 제발 가주세요. 자유대한민국에서 조용히 살고싶네요.	
이 와중에… 북한에 1만명 여행보내겠다는 단체	재물보내나?	
이 와중에… 북한에 1만명 여행보내겠다는 단체	완전히 미쳤군	
이 와중에… 북한에 1만명 여행보내겠다는 단체	진보좌파들 다 보내버리죠	
이 와중에… 북한에 1만명 여행보내겠다는 단체	제발가서돌아오지말아라	
이 와중에… 북한에 1만명 여행보내겠다는 단체	모든걸 다 떠나서 ㅡㅡ 북한도 외국임. 코로나를 어떻게 대처하는지도 모르는데 ㅡㅡ 무슨 단체여행.	
이 와중에… 북한에 1만명 여행보내겠다는 단체	가서 오지마라!	
이 와중에… 북한에 1만명 여행보내겠다는 단체	니들이 대한민국 국민이라면 지금 김씨일가가 우리나라 대통령한테 하는것을보고 또한 6월호국보훈의달에 이같은 행동은 할수 없엇을것이다 간첩의 선동이거나 무지몽매한 김씨일가 추종자이거나.......	
이 와중에… 북한에 1만명 여행보내겠다는 단체	오래전에 생떼같은 우리국민 금강산갔다돌아가셨다 이것만은 기억하자	
이 와중에… 북한에 1만명 여행보내겠다는 단체	저놈들 단체로 북한에 보내서 영영 살 수 있게 해줘라ㅋㅋㅋ재앙이와 더불어터진당 놈들도 같이 가라. 가서 제발 돌아오지 말기를ㅠㅠ	
이 와중에… 북한에 1만명 여행보내겠다는 단체	이 와중에? 조선일보야 이 와중에 탈북단체는 왜 삐라를 뿌려서 전쟁을 유발시키려 하고 국민 이간질 시키고 있지? 이것이 잘 하는 짓이냐? 이 와중이라니 무엇이 원인이고 문제인가? 과거에 천황폐하를 부르짖었던데 지금도 그 마음 변하지 않았나?	
이 와중에… 북한에 1만명 여행보내겠다는 단체	삐라 뿌리는굿 보난 낫네	
이 와중에… 북한에 1만명 여행보내겠다는 단체	지체없이 빨리빨리가라  돌아올생각말고 . 이제야 이나라좀 깨끗해지겠다	
이 와중에… 북한에 1만명 여행보내겠다는 단체	진짜 화나네	
이 와중에… 북한에 1만명 여행보내겠다는 단체	쌍도문제아를 빠는 애들은 뜬구름위에서 사는 대륙풍같아	
이 와중에… 북한에 1만명 여행보내겠다는 단체	진성 대깨문들은 빨리 넘어가라~  대신 돌아오지 말고..	
이 와중에… 북한에 1만명 여행보내겠다는 단체	우리 국민들 위험한 곳 가는데 총으로 무장한 병사들 같이 보내야되지않나?	
이 와중에… 북한에 1만명 여행보내겠다는 단체	청와대 더블당  좌파는 다  데꼬 가라  제발	
